"id","fqdn/ip","port","severity","finding","cve","cwe"
"clientsimulation-ie_11_win10","mon.agatha-budget.fr/185.212.47.46","443","INFO","TLSv1.2 ECDHE-ECDSA-AES256-GCM-SHA384","",""
"clientsimulation-edge_15_win10","mon.agatha-budget.fr/185.212.47.46","443","INFO","TLSv1.2 ECDHE-ECDSA-AES256-GCM-SHA384","",""
"clientsimulation-edge_101_win10_21h2","mon.agatha-budget.fr/185.212.47.46","443","INFO","TLSv1.3 TLS_AES_128_GCM_SHA256","",""
"clientsimulation-safari_121_ios_122","mon.agatha-budget.fr/185.212.47.46","443","INFO","TLSv1.3 TLS_CHACHA20_POLY1305_SHA256","",""
"clientsimulation-safari_130_osx_10146","mon.agatha-budget.fr/185.212.47.46","443","INFO","TLSv1.3 TLS_CHACHA20_POLY1305_SHA256","",""
"clientsimulation-safari_154_osx_1231","mon.agatha-budget.fr/185.212.47.46","443","INFO","TLSv1.3 TLS_AES_128_GCM_SHA256","",""
"clientsimulation-java_7u25","mon.agatha-budget.fr/185.212.47.46","443","INFO","No connection","",""
"clientsimulation-java_8u161","mon.agatha-budget.fr/185.212.47.46","443","INFO","TLSv1.2 ECDHE-ECDSA-AES256-GCM-SHA384","",""
"clientsimulation-java1102","mon.agatha-budget.fr/185.212.47.46","443","INFO","TLSv1.3 TLS_AES_128_GCM_SHA256","",""
"clientsimulation-java1703","mon.agatha-budget.fr/185.212.47.46","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-go_1178","mon.agatha-budget.fr/185.212.47.46","443","INFO","TLSv1.3 TLS_AES_128_GCM_SHA256","",""
"clientsimulation-libressl_283","mon.agatha-budget.fr/185.212.47.46","443","INFO","TLSv1.2 ECDHE-ECDSA-CHACHA20-POLY1305","",""
"clientsimulation-openssl_102e","mon.agatha-budget.fr/185.212.47.46","443","INFO","TLSv1.2 ECDHE-ECDSA-AES256-GCM-SHA384","",""
"clientsimulation-openssl_110l","mon.agatha-budget.fr/185.212.47.46","443","INFO","TLSv1.2 ECDHE-ECDSA-AES256-GCM-SHA384","",""
"clientsimulation-openssl_111d","mon.agatha-budget.fr/185.212.47.46","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-openssl_303","mon.agatha-budget.fr/185.212.47.46","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-apple_mail_16_0","mon.agatha-budget.fr/185.212.47.46","443","INFO","TLSv1.2 ECDHE-ECDSA-AES256-GCM-SHA384","",""
"clientsimulation-thunderbird_91_9","mon.agatha-budget.fr/185.212.47.46","443","INFO","TLSv1.3 TLS_AES_128_GCM_SHA256","",""
"rating_spec","mon.agatha-budget.fr/185.212.47.46","443","INFO","SSL Labs's 'SSL Server Rating Guide' (version 2009q from 2020-01-30)","",""
"rating_doc","mon.agatha-budget.fr/185.212.47.46","443","INFO","https://github.com/ssllabs/research/wiki/SSL-Server-Rating-Guide","",""
"protocol_support_score","mon.agatha-budget.fr/185.212.47.46","443","INFO","100","",""
"protocol_support_score_weighted","mon.agatha-budget.fr/185.212.47.46","443","INFO","30","",""
"key_exchange_score","mon.agatha-budget.fr/185.212.47.46","443","INFO","100","",""
"key_exchange_score_weighted","mon.agatha-budget.fr/185.212.47.46","443","INFO","30","",""
