"id","fqdn/ip","port","severity","finding","cve","cwe"
"intermediate_cert_expiration <#2>","erica-delagnier.fr/185.199.108.153","443","OK","ok > 40 days","",""
"intermediate_cert_chain <#2>","erica-delagnier.fr/185.199.108.153","443","INFO","ISRG Root X1 <-- DST Root CA X3","",""
"intermediate_cert_badOCSP","erica-delagnier.fr/185.199.108.153","443","OK","intermediate certificate(s) is/are ok","",""
"HTTP_status_code","erica-delagnier.fr/185.199.108.153","443","INFO","200 OK ('/')","",""
"HTTP_clock_skew","erica-delagnier.fr/185.199.108.153","443","INFO","+182 seconds from localtime","",""
"HTTP_headerTime","erica-delagnier.fr/185.199.108.153","443","INFO","1698244726","",""
"HTTP_headerAge","erica-delagnier.fr/185.199.108.153","443","INFO","182 seconds","",""
"HSTS_time","erica-delagnier.fr/185.199.108.153","443","OK","365 days (=31556952 seconds) > 15552000 seconds","",""
"HSTS_subdomains","erica-delagnier.fr/185.199.108.153","443","INFO","only for this domain","",""
"HSTS_preload","erica-delagnier.fr/185.199.108.153","443","INFO","domain is NOT marked for preloading","",""
"HPKP","erica-delagnier.fr/185.199.108.153","443","INFO","No support for HTTP Public Key Pinning","",""
"banner_server","erica-delagnier.fr/185.199.108.153","443","INFO","GitHub.com","",""
"banner_application","erica-delagnier.fr/185.199.108.153","443","INFO","No application banner found","",""
"cookie_count","erica-delagnier.fr/185.199.108.153","443","INFO","0 at '/'","",""
"Access-Control-Allow-Origin","erica-delagnier.fr/185.199.108.153","443","INFO","*","",""
"X-Served-By","erica-delagnier.fr/185.199.108.153","443","INFO","cache-sjc10037-SJC","",""
"Cache-Control","erica-delagnier.fr/185.199.108.153","443","INFO","max-age=600","",""
"banner_reverseproxy","erica-delagnier.fr/185.199.108.153","443","INFO","Via: 1.1 varnishX-Cache: HITX-Cache-Hits: 1","","CWE-200"
"heartbleed","erica-delagnier.fr/185.199.108.153","443","OK","not vulnerable, no heartbeat extension","CVE-2014-0160","CWE-119"
"CCS","erica-delagnier.fr/185.199.108.153","443","OK","not vulnerable","CVE-2014-0224","CWE-310"
"ticketbleed","erica-delagnier.fr/185.199.108.153","443","OK","not vulnerable","CVE-2016-9244","CWE-200"
"ROBOT","erica-delagnier.fr/185.199.108.153","443","OK","not vulnerable","CVE-2017-17382 CVE-2017-17427 CVE-2017-17428 CVE-2017-13098 CVE-2017-1000385 CVE-2017-13099 CVE-2016-6883 CVE-2012-5081 CVE-2017-6168","CWE-203"
"secure_renego","erica-delagnier.fr/185.199.108.153","443","OK","supported","","CWE-310"
"secure_client_renego","erica-delagnier.fr/185.199.108.153","443","OK","likely not vulnerable (timed out)","CVE-2011-1473","CWE-310"
"CRIME_TLS","erica-delagnier.fr/185.199.108.153","443","OK","not vulnerable","CVE-2012-4929","CWE-310"
"BREACH","erica-delagnier.fr/185.199.108.153","443","MEDIUM","potentially VULNERABLE, gzip HTTP compression detected  - only supplied '/' tested","CVE-2013-3587","CWE-310"
"POODLE_SSL","erica-delagnier.fr/185.199.108.153","443","OK","not vulnerable, no SSLv3","CVE-2014-3566","CWE-310"
"fallback_SCSV","erica-delagnier.fr/185.199.108.153","443","OK","no protocol below TLS 1.2 offered","",""
"SWEET32","erica-delagnier.fr/185.199.108.153","443","OK","not vulnerable","CVE-2016-2183 CVE-2016-6329","CWE-327"
"FREAK","erica-delagnier.fr/185.199.108.153","443","OK","not vulnerable","CVE-2015-0204","CWE-310"
"DROWN","erica-delagnier.fr/185.199.108.153","443","OK","not vulnerable on this host and port","CVE-2016-0800 CVE-2016-0703","CWE-310"
"DROWN_hint","erica-delagnier.fr/185.199.108.153","443","INFO","Make sure you don't use this certificate elsewhere with SSLv2 enabled services, see https://search.censys.io/search?resource=hosts&virtual_hosts=INCLUDE&q=4B16FD9AD42BD8F5CC9A89871B039703EB92218A328332D3014DC9DAD13B7BC1","CVE-2016-0800 CVE-2016-0703","CWE-310"
"LOGJAM","erica-delagnier.fr/185.199.108.153","443","OK","not vulnerable, no DH EXPORT ciphers,","CVE-2015-4000","CWE-310"
"LOGJAM-common_primes","erica-delagnier.fr/185.199.108.153","443","OK","no DH key with <= TLS 1.2","CVE-2015-4000","CWE-310"
"BEAST","erica-delagnier.fr/185.199.108.153","443","OK","not vulnerable, no SSL3 or TLS1","CVE-2011-3389","CWE-20"
"LUCKY13","erica-delagnier.fr/185.199.108.153","443","LOW","potentially vulnerable, uses TLS CBC ciphers","CVE-2013-0169","CWE-310"
"winshock","erica-delagnier.fr/185.199.108.153","443","OK","not vulnerable","CVE-2014-6321","CWE-94"
"RC4","erica-delagnier.fr/185.199.108.153","443","OK","not vulnerable","CVE-2013-2566 CVE-2015-2808","CWE-310"
